product_name,brand,category,price,rating,reviews,stock
Wireless Earbuds Pro,SoundWave,Electronics,49.99,4.3,1204,150
Bluetooth Speaker Mini,SoundWave,Electronics,29.99,4.1,890,200
Smart Watch X1,TechCore,Electronics,89.99,4.5,2301,80
Fitness Band 2,TechCore,Electronics,24.99,3.9,670,300
Noise Cancelling Headphones,AudioMax,Electronics,129.99,4.7,3120,60
Gaming Mouse RGB,TechCore,Electronics,19.99,4.2,540,250
Mechanical Keyboard,AudioMax,Electronics,79.99,4.4,1890,90
Portable Charger 10000mAh,SoundWave,Electronics,17.99,4.0,980,400
USB-C Hub 7-in-1,TechCore,Electronics,34.99,4.1,430,180
Laptop Stand Aluminum,ErgoLife,Home Office,22.99,4.6,760,220
Ergonomic Office Chair,ErgoLife,Home Office,189.99,4.3,540,40
Standing Desk Converter,ErgoLife,Home Office,149.99,4.5,320,55
Desk Lamp LED,HomeBright,Home Office,15.99,3.8,410,300
Blue Light Glasses,HomeBright,Accessories,12.99,4.0,890,500
Webcam 1080p,TechCore,Electronics,39.99,4.2,670,150
Ring Light 10 inch,HomeBright,Accessories,24.99,4.1,520,200
Phone Tripod,HomeBright,Accessories,14.99,3.9,300,350
Yoga Mat Premium,FitLife,Fitness,27.99,4.6,1450,180
Resistance Bands Set,FitLife,Fitness,16.99,4.4,980,400
Water Bottle Insulated,FitLife,Fitness,19.99,4.5,1120,300
